total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,avg_turnover,cost_drag_ann,avg_exposure,strategy,split,cost_bps,display_name
-0.2848477637247957,-0.10228238403584156,0.27603581635746444,-0.2528996147657468,-0.4794963387396397,-0.21331212727232013,0.001277139208173691,3.218390804597701e-05,1.0,buy_and_hold,train,1,Buy & Hold QQQ
0.07406865079914193,0.03516538115715773,0.28413478854514856,0.2639295224837718,-0.3735858904107594,0.09412930750273579,0.0,0.0,1.0,buy_and_hold,validation,1,Buy & Hold QQQ
-0.26038936461251905,-0.11020176286245165,0.20985610251684586,-0.4516104410429094,-0.4005272233267755,-0.27514175427856513,0.0,0.0,1.0,buy_and_hold,holdout,1,Buy & Hold QQQ
-0.4318883575838024,-0.07029227454903719,0.25816216389386454,-0.15313334896169187,-0.5073248122425125,-0.13855477369286628,0.0005115089514066496,1.2890025575447571e-05,1.0,buy_and_hold,full,1,Buy & Hold QQQ
0.001110376460400353,0.0003572280730066435,0.21426613921825313,0.10851147320557473,-0.3462827258147906,0.001031608123581963,0.1222860791826309,0.003081609195402299,0.2771392081736909,medium_term_trend,train,1,Medium-Term Trend
0.32555061737886315,0.14604399335845009,0.24137584070623577,0.6856579330070514,-0.27973750803841313,0.5220751210037788,0.09213051823416507,0.0023216890595009598,0.5215930902111324,medium_term_trend,validation,1,Medium-Term Trend
-0.004876206809763639,-0.0018903919718480378,0.1736881455924011,0.07572120052751519,-0.19607249092576262,-0.00964129115166789,0.09216589861751152,0.00232258064516129,0.3191244239631336,medium_term_trend,holdout,1,Medium-Term Trend
0.3205516415395755,0.036490678222584005,0.20959550574600083,0.27575472398667,-0.3462827258147906,0.10537828052705422,0.10421994884910486,0.002626342710997443,0.35626598465473147,medium_term_trend,full,1,Medium-Term Trend
-0.4390982837912556,-0.16980149191466132,0.4122749538385189,-0.24511172048293986,-0.6363637425039059,-0.2668308713606811,0.0019157088122605363,4.8275862068965517e-05,1.4744572158365261,rsi_deep_value,train,1,RSI Deep Value
0.04508793370199049,0.021560148356071007,0.42620218281772276,0.2639295224837719,-0.5089115522457324,0.042365217022349105,0.0,0.0,1.5,rsi_deep_value,validation,1,RSI Deep Value
-0.39044615976382036,-0.17438254435677303,0.3147841537752688,-0.45161044104290937,-0.5489529151732992,-0.31766393717341335,0.0,0.0,1.5,rsi_deep_value,holdout,1,RSI Deep Value
-0.6426846495952464,-0.12423366530416347,0.3864823086961763,-0.1496413669997991,-0.712958760051424,-0.1742508434782438,0.0007672634271099745,1.9335038363171357e-05,1.489769820971867,rsi_deep_value,full,1,RSI Deep Value
-0.4175287618219218,-0.15965783322563398,0.17280014039767727,-0.9188924967874141,-0.4555927345943084,-0.3504398141199606,0.05363984674329502,0.0013517241379310343,0.2161558109833972,dual_trend_macro,train,1,Dual Trend Macro
-0.17684201682669554,-0.0898342887989122,0.22549947803892295,-0.30429335504638644,-0.36128426092568766,-0.24865264976873752,0.08493282149712092,0.0021403071017274474,0.31429942418426104,dual_trend_macro,validation,1,Dual Trend Macro
-0.38586139026536437,-0.1719842322780265,0.19705601825928465,-0.8586993162820611,-0.4307707559638838,-0.3992476970568676,0.10253456221198157,0.0025838709677419355,0.3955453149001536,dual_trend_macro,holdout,1,Dual Trend Macro
-0.705541509665284,-0.14580491485180191,0.19597595801096318,-0.7053304284008589,-0.7329199872056118,-0.19893701549566026,0.0782608695652174,0.0019721739130434783,0.3020460358056266,dual_trend_macro,full,1,Dual Trend Macro
-0.09239060888558981,-0.03071777912862217,0.24003949685099915,-0.010310894191752523,-0.38008523154113094,-0.08081813388031638,0.06673052362707534,0.0016816091954022989,0.8118348233290763,final_research_ensemble,train,1,Final Research Ensemble
0.14722355669473752,0.0686878777498432,0.2582881931287855,0.3864565019789574,-0.31985774201688133,0.21474508422628086,0.05886116442738324,0.0014833013435700574,0.9019513755598209,final_research_ensemble,validation,1,Final Research Ensemble
-0.15622509196431955,-0.06364063751370597,0.18697830367049115,-0.25847134894181,-0.3116791210022236,-0.2041863994901729,0.06144393241167435,0.0015483870967741937,0.834485407066052,final_research_ensemble,holdout,1,Final Research Ensemble
-0.12143551524602492,-0.016549720170483284,0.2290329488593969,0.04155114863313502,-0.38008523154113094,-0.04354212896770328,0.06287297527706734,0.0015843989769820973,0.8433930093776641,final_research_ensemble,full,1,Final Research Ensemble
-0.28513385322825535,-0.10239797952005347,0.2760358269685646,-0.25336597795509985,-0.47949633873963937,-0.21355320415836235,0.001277139208173691,0.00016091954022988506,1.0,buy_and_hold,train,5,Buy & Hold QQQ
0.07406865079914193,0.03516538115715773,0.28413478854514856,0.2639295224837718,-0.3735858904107594,0.09412930750273579,0.0,0.0,1.0,buy_and_hold,validation,5,Buy & Hold QQQ
