signal,split,total_return,ann_return,ann_vol,sharpe,max_drawdown,avg_abs_component_exposure,correlation_to_ensemble,positive_day_share
medium_term_trend,train,0.004763625944370409,0.0015306511939658929,0.07165467722372507,0.05710546869414367,-0.13652228123155474,0.19178373776074928,0.6265618484473324,0.4610472541507024
rsi_deep_value,train,-0.1255669634840596,-0.04226506634027116,0.13742483801320293,-0.2455803675653177,-0.2708025211942555,0.49148573861217537,0.9490492691110831,0.48659003831417624
turn_of_month,train,0.057136199584719494,0.01804337263012168,0.07179733197188001,0.28490626472622144,-0.1177864182923245,0.22796934865900384,0.9020436419539416,0.48531289910600256
medium_term_trend,validation,0.10663335526101947,0.05022890386444523,0.08069492618639362,0.6476860171735981,-0.10196920658354092,0.2547984644913628,0.6927900875516653,0.5067178502879078
rsi_deep_value,validation,0.05829677874717709,0.027784991743786236,0.14206739427257428,0.2639295224837718,-0.20606104666709457,0.5,0.9525151980091464,0.5239923224568138
turn_of_month,validation,0.0026951340786196543,0.001302690753401503,0.07516943905776265,0.05485196401306375,-0.11247373061783783,0.22808701215611002,0.8938413404387101,0.5239923224568138
medium_term_trend,holdout,-0.00103163719974253,-0.00039946975341165203,0.05813783962974181,0.02214021221291825,-0.07089455587027649,0.209805427547363,0.6774602371089684,0.5099846390168971
rsi_deep_value,holdout,-0.1276981940477958,-0.05151099974322637,0.10492805125842293,-0.4516104410429094,-0.21833157187208752,0.5,0.9486621478991334,0.48540706605222733
turn_of_month,holdout,-0.0251050229740033,-0.009793865154820391,0.05335947529056703,-0.15784756716981202,-0.07816371986476034,0.22811059907834103,0.9017921308766733,0.4838709677419355
medium_term_trend,full,0.11075786012166722,0.013632091231513321,0.07009968194174575,0.22818763244792867,-0.13652228123155474,0.2145780051150895,0.6608647530822706,0.4895140664961637
rsi_deep_value,full,-0.19276347729890386,-0.02722504733201414,0.1288273851081953,-0.149841539512608,-0.2708025211942555,0.49658994032395565,0.9499724300254471,0.4961636828644501
turn_of_month,full,0.033374367486353584,0.004240701570751071,0.06718961079179778,0.09654467965993001,-0.1587002250876205,0.22804774083546459,0.8989391159929139,0.49514066496163683
